Di-photon ACC,Di-photon AUC,ZZ->4l ACC,ZZ->4l AUC,Luminosity (fb^-1),Model type,Model Name,Za ACC,Za AUC
0.66245,0.71702066,0.6332,0.675805465,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_5_09,0.67335,0.7295524250000001
0.66925,0.72147049,0.6397,0.681294625,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_5_10,0.67495,0.7297721450000001
0.66795,0.7278848750000001,0.64695,0.6974340399999999,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_5_01,0.67045,0.7320470249999999
0.6583,0.715878535,0.6437,0.689408,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_5_02,0.67695,0.738670515
0.67285,0.7351808649999999,0.6426,0.6905196600000001,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_5_03,0.6842,0.743673095
0.66235,0.71740862,0.6364,0.682540975,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_5_04,0.67275,0.7295988950000001
0.6785,0.7350326450000001,0.642,0.6906825699999999,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_5_05,0.66635,0.723878195
0.68085,0.742233705,0.6437,0.6935374999999999,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_5_06,0.6817,0.743078335
0.6738,0.7340581049999999,0.6515,0.7008720150000001,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_5_07,0.67335,0.7312985099999999
0.6625,0.7233596800000001,0.6364,0.6872908,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_5_08,0.67055,0.729667155
0.6664,0.7235768600000001,0.6415,0.690860385,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_5_09,0.6713,0.727268825
0.6733,0.7343553199999999,0.65225,0.701418685,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_5_10,0.6791,0.7406437450000001
0.6781,0.7354319650000001,0.65305,0.708052385,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_5_01,0.6865,0.74198439
0.673,0.73340917,0.6489,0.7032528,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_5_02,0.68195,0.7396201099999999
0.6774,0.732988015,0.6505,0.70148437,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_5_03,0.67905,0.73243533
0.6816,0.737235095,0.6484,0.69778465,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_5_04,0.6683,0.72076318
0.68035,0.738449095,0.6499,0.7028029499999999,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_5_05,0.66915,0.7256420899999999
0.67165,0.7318023549999999,0.65365,0.7089148150000001,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_5_06,0.68185,0.7385733449999999
0.677,0.73404836,0.65025,0.700678495,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_5_07,0.68005,0.7338866750000002
0.67835,0.73964631,0.65795,0.7094436199999999,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_5_08,0.67565,0.7333546599999999
0.6699,0.72888477,0.65475,0.7083705849999998,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_5_09,0.67695,0.7336534500000002
0.67525,0.733357045,0.65475,0.70400976,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_5_10,0.6932,0.752043425
0.67395,0.73044433,0.6598,0.70998957,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_5_01,0.68125,0.7360039099999999
0.67225,0.7223966700000001,0.6545,0.7043365500000001,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_5_02,0.68615,0.7411217250000001
0.6806,0.736231485,0.6579,0.71398764,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_5_03,0.6708,0.72517275
0.67845,0.7376348399999999,0.66265,0.71403732,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_5_04,0.6709,0.72489516
0.68645,0.74518335,0.6627,0.7169109250000001,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_5_05,0.68495,0.7385461
0.67975,0.741911985,0.66105,0.712911015,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_5_06,0.68525,0.74647897
0.684,0.739641965,0.65795,0.70906929,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_5_07,0.68235,0.7438100899999999
0.66945,0.7292190799999999,0.6488,0.702936105,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_5_08,0.677,0.7362192350000001
0.68105,0.7408057900000001,0.6541,0.70630687,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_5_09,0.68235,0.7431389399999999
0.6813,0.7342644599999999,0.663,0.715464885,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_5_10,0.6892,0.747042715
0.673,0.735623285,0.6512,0.7084998550000001,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_5_01,0.6743,0.73370622
0.6886,0.74895651,0.65855,0.71952691,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_5_02,,
0.68475,0.7462173400000001,0.66,0.7127784349999999,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_5_03,0.68385,0.74218163
0.68115,0.7440967950000001,0.6634,0.7193478000000001,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_5_04,0.68355,0.7434765349999999
0.68,0.73526747,0.664,0.71918459,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_5_05,0.67955,0.7387778200000001
0.68655,0.750957945,0.67055,0.7289828850000001,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_5_06,0.68095,0.74578389
0.6939,0.751839865,0.6677,0.7191207150000001,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_5_07,0.68715,0.74788036
0.6885,0.74877094,0.6627,0.7178488350000001,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_5_08,0.686,0.74781868
0.67565,0.7342111800000001,0.6653,0.7177702349999999,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_5_09,0.6881,0.749992625
0.6758,0.73434394,0.65865,0.71332771,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_5_10,0.6799,0.740783265
0.67675,0.7371465049999999,0.6437,0.6880880949999999,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_10_01,0.68365,0.7425437249999999
0.6638,0.71691208,0.6405,0.6825907099999999,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_10_02,0.6702,0.7233737349999999
0.6792,0.73911312,0.6517,0.697555675,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_10_03,0.6792,0.7391858849999999
0.65635,0.7093877,0.62785,0.674466035,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_10_04,0.66815,0.7208101899999999
0.67245,0.7302365000000001,0.63985,0.68666091,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_10_05,0.67075,0.7271792149999999
0.6726,0.729730105,0.64,0.686816275,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_10_06,0.6721,0.7283251350000002
0.6739,0.733764735,0.6581,0.702716605,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_10_07,0.6782,0.736473095
0.64475,0.69587662,0.62205,0.66523544,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_10_08,0.64645,0.693510345
0.6288,0.677591045,0.61095,0.64711036,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_10_09,0.67475,0.73168011
0.6671,0.720421065,0.6328,0.6777737049999999,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_10_10,0.6714,0.7231399350000001
0.66035,0.71992121,0.6447,0.6974461650000001,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_10_01,0.66875,0.7285171850000001
0.6593,0.713557455,0.64055,0.6871145000000001,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_10_02,0.6677,0.7282135650000001
0.68065,0.7410783099999999,0.64725,0.694668725,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_10_03,0.67885,0.73754861
0.666,0.719961895,0.6377,0.6838157749999999,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_10_04,0.66495,0.71755688
0.67365,0.723104435,0.64565,0.69045191,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_10_05,0.66385,0.721115
0.6696,0.73119102,0.6424,0.6981908800000001,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_10_06,0.67675,0.734981335
0.66775,0.72597063,0.64785,0.69742793,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_10_07,0.66925,0.72675914
0.664,0.7216555600000001,0.64065,0.6869018949999999,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_10_08,0.6751,0.736101465
